size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,5.120e+00,3.088e+03,7.720e+00,4.000e+02
32,32,32,8.192e+03,4.312e+00,1.230e+04,6.476e+00,1.900e+03
48,48,48,1.843e+04,5.585e+00,2.766e+04,8.383e+00,3.300e+03
64,64,64,3.277e+04,5.650e+00,4.917e+04,8.477e+00,5.800e+03
80,80,80,5.120e+04,5.565e+00,7.682e+04,8.350e+00,9.200e+03
96,96,96,7.373e+04,5.543e+00,1.106e+05,8.316e+00,1.330e+04
112,112,112,1.004e+05,5.606e+00,1.505e+05,8.410e+00,1.790e+04
128,128,128,1.311e+05,5.601e+00,1.966e+05,8.403e+00,2.340e+04
144,144,144,1.659e+05,5.623e+00,2.488e+05,8.436e+00,2.950e+04
160,160,160,2.048e+05,5.611e+00,3.072e+05,8.417e+00,3.650e+04
176,176,176,2.478e+05,5.645e+00,3.717e+05,8.468e+00,4.390e+04
192,192,192,2.949e+05,5.617e+00,4.424e+05,8.426e+00,5.250e+04
208,208,208,3.461e+05,5.619e+00,5.192e+05,8.428e+00,6.160e+04
224,224,224,4.014e+05,5.537e+00,6.021e+05,8.305e+00,7.250e+04
240,240,240,4.608e+05,5.545e+00,6.912e+05,8.318e+00,8.310e+04
256,256,256,5.243e+05,5.422e+00,7.864e+05,8.133e+00,9.670e+04
272,272,272,5.919e+05,5.460e+00,8.878e+05,8.190e+00,1.084e+05
288,288,288,6.636e+05,5.484e+00,9.953e+05,8.226e+00,1.210e+05
304,304,304,7.393e+05,5.472e+00,1.109e+06,8.209e+00,1.351e+05
320,320,320,8.192e+05,5.502e+00,1.229e+06,8.253e+00,1.489e+05
336,336,336,9.032e+05,5.490e+00,1.355e+06,8.236e+00,1.645e+05
352,352,352,9.912e+05,5.504e+00,1.487e+06,8.256e+00,1.801e+05
368,368,368,1.083e+06,5.494e+00,1.625e+06,8.241e+00,1.972e+05
384,384,384,1.180e+06,5.523e+00,1.769e+06,8.284e+00,2.136e+05
400,400,400,1.280e+06,5.510e+00,1.920e+06,8.265e+00,2.323e+05
416,416,416,1.384e+06,5.492e+00,2.077e+06,8.238e+00,2.521e+05
432,432,432,1.493e+06,5.495e+00,2.240e+06,8.243e+00,2.717e+05
448,448,448,1.606e+06,5.491e+00,2.408e+06,8.237e+00,2.924e+05
464,464,464,1.722e+06,5.512e+00,2.584e+06,8.267e+00,3.125e+05
480,480,480,1.843e+06,5.509e+00,2.765e+06,8.263e+00,3.346e+05
496,496,496,1.968e+06,5.515e+00,2.952e+06,8.272e+00,3.569e+05
512,512,512,2.097e+06,4.981e+00,3.146e+06,7.472e+00,4.210e+05
528,528,528,2.230e+06,5.501e+00,3.345e+06,8.252e+00,4.054e+05
544,544,544,2.367e+06,5.505e+00,3.551e+06,8.257e+00,4.301e+05
560,560,560,2.509e+06,5.532e+00,3.763e+06,8.298e+00,4.535e+05
576,576,576,2.654e+06,5.517e+00,3.981e+06,8.275e+00,4.811e+05
592,592,592,2.804e+06,5.512e+00,4.206e+06,8.267e+00,5.087e+05
608,608,608,2.957e+06,5.534e+00,4.436e+06,8.301e+00,5.344e+05
624,624,624,3.115e+06,5.538e+00,4.673e+06,8.307e+00,5.625e+05
640,640,640,3.277e+06,5.528e+00,4.915e+06,8.292e+00,5.928e+05
656,656,656,3.443e+06,5.523e+00,5.164e+06,8.285e+00,6.233e+05
672,672,672,3.613e+06,5.521e+00,5.419e+06,8.282e+00,6.543e+05
688,688,688,3.787e+06,5.530e+00,5.680e+06,8.295e+00,6.848e+05
704,704,704,3.965e+06,5.525e+00,5.947e+06,8.288e+00,7.176e+05
720,720,720,4.147e+06,5.538e+00,6.221e+06,8.308e+00,7.488e+05
736,736,736,4.334e+06,5.512e+00,6.500e+06,8.268e+00,7.862e+05
752,752,752,4.524e+06,5.543e+00,6.786e+06,8.315e+00,8.161e+05
768,768,768,4.719e+06,5.417e+00,7.078e+06,8.126e+00,8.710e+05
784,784,784,4.917e+06,5.527e+00,7.376e+06,8.291e+00,8.896e+05
800,800,800,5.120e+06,5.526e+00,7.680e+06,8.288e+00,9.266e+05
816,816,816,5.327e+06,5.532e+00,7.990e+06,8.297e+00,9.630e+05
832,832,832,5.538e+06,5.544e+00,8.307e+06,8.316e+00,9.989e+05
848,848,848,5.753e+06,5.536e+00,8.629e+06,8.305e+00,1.039e+06
864,864,864,5.972e+06,5.528e+00,8.958e+06,8.292e+00,1.080e+06
880,880,880,6.195e+06,5.527e+00,9.293e+06,8.291e+00,1.121e+06
896,896,896,6.423e+06,5.498e+00,9.634e+06,8.247e+00,1.168e+06
912,912,912,6.654e+06,5.529e+00,9.981e+06,8.293e+00,1.204e+06
928,928,928,6.889e+06,5.531e+00,1.033e+07,8.297e+00,1.246e+06
944,944,944,7.129e+06,5.542e+00,1.069e+07,8.313e+00,1.286e+06
960,960,960,7.373e+06,5.507e+00,1.106e+07,8.261e+00,1.339e+06
976,976,976,7.621e+06,5.414e+00,1.143e+07,8.120e+00,1.408e+06
992,992,992,7.873e+06,5.440e+00,1.181e+07,8.160e+00,1.447e+06
1008,1008,1008,8.129e+06,5.385e+00,1.219e+07,8.077e+00,1.510e+06
