size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,2.048e+03,4.096e+00,3.088e+03,6.176e+00,5.000e+02
32,32,32,8.192e+03,3.901e+00,1.230e+04,5.859e+00,2.100e+03
48,48,48,1.843e+04,3.922e+00,2.766e+04,5.886e+00,4.700e+03
64,64,64,3.277e+04,3.996e+00,4.917e+04,5.996e+00,8.200e+03
80,80,80,5.120e+04,4.031e+00,7.682e+04,6.049e+00,1.270e+04
96,96,96,7.373e+04,4.029e+00,1.106e+05,6.044e+00,1.830e+04
112,112,112,1.004e+05,4.030e+00,1.505e+05,6.046e+00,2.490e+04
128,128,128,1.311e+05,3.996e+00,1.966e+05,5.995e+00,3.280e+04
144,144,144,1.659e+05,4.017e+00,2.488e+05,6.025e+00,4.130e+04
160,160,160,2.048e+05,4.024e+00,3.072e+05,6.036e+00,5.090e+04
176,176,176,2.478e+05,4.029e+00,3.717e+05,6.044e+00,6.150e+04
192,192,192,2.949e+05,4.012e+00,4.424e+05,6.019e+00,7.350e+04
208,208,208,3.461e+05,4.001e+00,5.192e+05,6.002e+00,8.650e+04
224,224,224,4.014e+05,3.998e+00,6.021e+05,5.997e+00,1.004e+05
240,240,240,4.608e+05,3.990e+00,6.912e+05,5.985e+00,1.155e+05
256,256,256,5.243e+05,4.018e+00,7.864e+05,6.026e+00,1.305e+05
272,272,272,5.919e+05,3.994e+00,8.878e+05,5.991e+00,1.482e+05
288,288,288,6.636e+05,3.985e+00,9.953e+05,5.978e+00,1.665e+05
304,304,304,7.393e+05,3.996e+00,1.109e+06,5.995e+00,1.850e+05
320,320,320,8.192e+05,3.990e+00,1.229e+06,5.985e+00,2.053e+05
336,336,336,9.032e+05,3.993e+00,1.355e+06,5.989e+00,2.262e+05
352,352,352,9.912e+05,3.994e+00,1.487e+06,5.991e+00,2.482e+05
368,368,368,1.083e+06,3.992e+00,1.625e+06,5.988e+00,2.714e+05
384,384,384,1.180e+06,3.996e+00,1.769e+06,5.994e+00,2.952e+05
400,400,400,1.280e+06,4.005e+00,1.920e+06,6.008e+00,3.196e+05
416,416,416,1.384e+06,3.998e+00,2.077e+06,5.997e+00,3.463e+05
432,432,432,1.493e+06,3.988e+00,2.240e+06,5.982e+00,3.744e+05
448,448,448,1.606e+06,4.005e+00,2.408e+06,6.008e+00,4.009e+05
464,464,464,1.722e+06,4.003e+00,2.584e+06,6.004e+00,4.303e+05
480,480,480,1.843e+06,4.010e+00,2.765e+06,6.016e+00,4.596e+05
496,496,496,1.968e+06,4.000e+00,2.952e+06,6.000e+00,4.920e+05
512,512,512,2.097e+06,3.993e+00,3.146e+06,5.990e+00,5.252e+05
528,528,528,2.230e+06,4.014e+00,3.345e+06,6.021e+00,5.556e+05
544,544,544,2.367e+06,4.009e+00,3.551e+06,6.014e+00,5.905e+05
560,560,560,2.509e+06,4.003e+00,3.763e+06,6.004e+00,6.268e+05
576,576,576,2.654e+06,4.004e+00,3.981e+06,6.006e+00,6.629e+05
592,592,592,2.804e+06,4.014e+00,4.206e+06,6.021e+00,6.985e+05
608,608,608,2.957e+06,4.006e+00,4.436e+06,6.009e+00,7.382e+05
624,624,624,3.115e+06,4.011e+00,4.673e+06,6.016e+00,7.767e+05
640,640,640,3.277e+06,4.010e+00,4.915e+06,6.015e+00,8.171e+05
656,656,656,3.443e+06,4.009e+00,5.164e+06,6.014e+00,8.587e+05
672,672,672,3.613e+06,4.006e+00,5.419e+06,6.008e+00,9.019e+05
688,688,688,3.787e+06,4.015e+00,5.680e+06,6.023e+00,9.431e+05
704,704,704,3.965e+06,4.013e+00,5.947e+06,6.020e+00,9.880e+05
720,720,720,4.147e+06,4.017e+00,6.221e+06,6.025e+00,1.032e+06
736,736,736,4.334e+06,4.006e+00,6.500e+06,6.009e+00,1.082e+06
752,752,752,4.524e+06,4.021e+00,6.786e+06,6.031e+00,1.125e+06
768,768,768,4.719e+06,4.009e+00,7.078e+06,6.014e+00,1.177e+06
784,784,784,4.917e+06,4.013e+00,7.376e+06,6.020e+00,1.225e+06
800,800,800,5.120e+06,4.006e+00,7.680e+06,6.009e+00,1.278e+06
816,816,816,5.327e+06,4.021e+00,7.990e+06,6.032e+00,1.325e+06
832,832,832,5.538e+06,4.008e+00,8.307e+06,6.012e+00,1.382e+06
848,848,848,5.753e+06,4.020e+00,8.629e+06,6.030e+00,1.431e+06
864,864,864,5.972e+06,4.019e+00,8.958e+06,6.029e+00,1.486e+06
880,880,880,6.195e+06,4.018e+00,9.293e+06,6.027e+00,1.542e+06
896,896,896,6.423e+06,4.012e+00,9.634e+06,6.018e+00,1.601e+06
912,912,912,6.654e+06,4.023e+00,9.981e+06,6.034e+00,1.654e+06
928,928,928,6.889e+06,4.018e+00,1.033e+07,6.027e+00,1.715e+06
944,944,944,7.129e+06,4.025e+00,1.069e+07,6.038e+00,1.771e+06
960,960,960,7.373e+06,4.012e+00,1.106e+07,6.017e+00,1.838e+06
976,976,976,7.621e+06,4.015e+00,1.143e+07,6.022e+00,1.898e+06
992,992,992,7.873e+06,4.011e+00,1.181e+07,6.016e+00,1.963e+06
1008,1008,1008,8.129e+06,4.010e+00,1.219e+07,6.015e+00,2.027e+06
