size,m,n,flop,throughput,bytes,GB_per_s,nanoseconds
16,16,16,4.608e+03,7.810e-01,3.108e+03,5.268e-01,5.900e+03
32,32,32,1.843e+04,7.745e-01,1.232e+04,5.178e-01,2.380e+04
48,48,48,4.147e+04,7.737e-01,2.768e+04,5.165e-01,5.360e+04
64,64,64,7.373e+04,7.680e-01,4.919e+04,5.124e-01,9.600e+04
80,80,80,1.152e+05,7.701e-01,7.684e+04,5.136e-01,1.496e+05
96,96,96,1.659e+05,7.687e-01,1.106e+05,5.126e-01,2.158e+05
112,112,112,2.258e+05,7.677e-01,1.506e+05,5.119e-01,2.941e+05
128,128,128,2.949e+05,7.680e-01,1.966e+05,5.121e-01,3.840e+05
144,144,144,3.732e+05,7.674e-01,2.489e+05,5.117e-01,4.864e+05
160,160,160,4.608e+05,7.662e-01,3.072e+05,5.109e-01,6.014e+05
176,176,176,5.576e+05,7.655e-01,3.717e+05,5.104e-01,7.284e+05
192,192,192,6.636e+05,7.660e-01,4.424e+05,5.107e-01,8.663e+05
208,208,208,7.788e+05,7.654e-01,5.192e+05,5.103e-01,1.017e+06
224,224,224,9.032e+05,7.652e-01,6.021e+05,5.102e-01,1.180e+06
240,240,240,1.037e+06,7.645e-01,6.912e+05,5.097e-01,1.356e+06
256,256,256,1.180e+06,7.645e-01,7.865e+05,5.097e-01,1.543e+06
272,272,272,1.332e+06,7.655e-01,8.878e+05,5.103e-01,1.740e+06
288,288,288,1.493e+06,7.650e-01,9.954e+05,5.100e-01,1.952e+06
304,304,304,1.663e+06,7.653e-01,1.109e+06,5.102e-01,2.174e+06
320,320,320,1.843e+06,7.653e-01,1.229e+06,5.102e-01,2.408e+06
336,336,336,2.032e+06,7.650e-01,1.355e+06,5.100e-01,2.656e+06
352,352,352,2.230e+06,7.651e-01,1.487e+06,5.101e-01,2.915e+06
368,368,368,2.438e+06,7.651e-01,1.625e+06,5.101e-01,3.186e+06
384,384,384,2.654e+06,7.653e-01,1.770e+06,5.102e-01,3.468e+06
400,400,400,2.880e+06,7.649e-01,1.920e+06,5.100e-01,3.765e+06
416,416,416,3.115e+06,7.653e-01,2.077e+06,5.102e-01,4.070e+06
432,432,432,3.359e+06,7.651e-01,2.240e+06,5.101e-01,4.391e+06
448,448,448,3.613e+06,7.649e-01,2.408e+06,5.100e-01,4.723e+06
464,464,464,3.875e+06,7.649e-01,2.584e+06,5.099e-01,5.066e+06
480,480,480,4.147e+06,7.647e-01,2.765e+06,5.098e-01,5.424e+06
496,496,496,4.428e+06,7.647e-01,2.952e+06,5.098e-01,5.791e+06
512,512,512,4.719e+06,7.652e-01,3.146e+06,5.101e-01,6.167e+06
528,528,528,5.018e+06,7.651e-01,3.345e+06,5.100e-01,6.559e+06
544,544,544,5.327e+06,7.650e-01,3.551e+06,5.100e-01,6.963e+06
560,560,560,5.645e+06,7.653e-01,3.763e+06,5.102e-01,7.376e+06
576,576,576,5.972e+06,7.653e-01,3.981e+06,5.102e-01,7.803e+06
592,592,592,6.308e+06,7.645e-01,4.206e+06,5.097e-01,8.252e+06
608,608,608,6.654e+06,7.651e-01,4.436e+06,5.100e-01,8.697e+06
624,624,624,7.009e+06,7.647e-01,4.673e+06,5.098e-01,9.166e+06
640,640,640,7.373e+06,7.650e-01,4.915e+06,5.100e-01,9.638e+06
656,656,656,7.746e+06,7.648e-01,5.164e+06,5.098e-01,1.013e+07
672,672,672,8.129e+06,7.645e-01,5.419e+06,5.097e-01,1.063e+07
688,688,688,8.520e+06,7.649e-01,5.680e+06,5.100e-01,1.114e+07
704,704,704,8.921e+06,7.649e-01,5.947e+06,5.099e-01,1.166e+07
720,720,720,9.331e+06,7.651e-01,6.221e+06,5.101e-01,1.220e+07
736,736,736,9.751e+06,7.645e-01,6.500e+06,5.097e-01,1.275e+07
752,752,752,1.018e+07,7.649e-01,6.786e+06,5.099e-01,1.331e+07
768,768,768,1.062e+07,7.647e-01,7.078e+06,5.098e-01,1.388e+07
784,784,784,1.106e+07,7.646e-01,7.376e+06,5.097e-01,1.447e+07
800,800,800,1.152e+07,7.641e-01,7.680e+06,5.094e-01,1.508e+07
816,816,816,1.199e+07,7.649e-01,7.990e+06,5.100e-01,1.567e+07
832,832,832,1.246e+07,7.645e-01,8.307e+06,5.096e-01,1.630e+07
848,848,848,1.294e+07,7.648e-01,8.629e+06,5.099e-01,1.692e+07
864,864,864,1.344e+07,7.645e-01,8.958e+06,5.097e-01,1.758e+07
880,880,880,1.394e+07,7.648e-01,9.293e+06,5.099e-01,1.823e+07
896,896,896,1.445e+07,7.644e-01,9.634e+06,5.096e-01,1.891e+07
912,912,912,1.497e+07,7.644e-01,9.981e+06,5.096e-01,1.959e+07
928,928,928,1.550e+07,7.643e-01,1.033e+07,5.095e-01,2.028e+07
944,944,944,1.604e+07,7.648e-01,1.069e+07,5.099e-01,2.097e+07
960,960,960,1.659e+07,7.646e-01,1.106e+07,5.097e-01,2.170e+07
976,976,976,1.715e+07,7.644e-01,1.143e+07,5.096e-01,2.243e+07
992,992,992,1.771e+07,7.647e-01,1.181e+07,5.098e-01,2.316e+07
1008,1008,1008,1.829e+07,7.647e-01,1.219e+07,5.098e-01,2.392e+07
